name,calories,protein,carbs,fat,ingredients,recipe
Cucumber Roll-Ups,90,7,9,7,"1 cucumber; 1/4 cup low-fat cream cheese; 1/4 cup shredded carrots; 1/4 cup chopped bell peppers; Salt and pepper, to taste","For cucumber roll-ups: Slice cucumber lengthwise into thin strips. Spread low-fat cream cheese on each strip, sprinkle with shredded carrots and chopped bell peppers. Season with salt and pepper, then roll up the cucumber strips."
Rice Cake with Cottage Cheese and Berries,110,8,11,8,1 rice cake; 1/4 cup low-fat cottage cheese; 1/4 cup mixed berries,For rice cake with cottage cheese and berries: Spread low-fat cottage cheese on a rice cake and top with mixed berries.
Stuffed Cherry Tomatoes,80,6,8,6,12 cherry tomatoes; 1/4 cup hummus; 2 tablespoons chopped fresh parsley,For stuffed cherry tomatoes: Cut a small slice off the top of each cherry tomato and scoop out the seeds. Fill each tomato with hummus and sprinkle with chopped fresh parsley.
Greek Yogurt Parfait with Granola,150,11,15,11,1/2 cup Greek yogurt; 1/4 cup granola; 1/4 cup mixed berries,"For Greek yogurt parfait with granola: Layer Greek yogurt, granola, and mixed berries in a glass or bowl. Repeat layers as desired."
Roasted Red Pepper and Feta Dip with Veggie Sticks,120,9,12,9,"1 roasted red pepper, chopped; 1/4 cup crumbled feta cheese; 2 tablespoons Greek yogurt; 1 tablespoon lemon juice; Assorted veggie sticks","For roasted red pepper and feta dip with veggie sticks: Blend chopped roasted red pepper, crumbled feta cheese, Greek yogurt, and lemon juice until smooth. Serve with assorted veggie sticks for dipping."
Apple Slices with Almond Butter,130,10,13,10,"1 apple, sliced; 2 tablespoons almond butter",For apple slices with almond butter: Dip apple slices in almond butter for a satisfying and nutritious snack.
Spicy Avocado Cucumber Bites,110,8,11,8,"1 cucumber, sliced; 1/2 avocado, mashed; 1/4 teaspoon red pepper flakes; Salt and pepper, to taste","For spicy avocado cucumber bites: Spread mashed avocado on cucumber slices. Sprinkle with red pepper flakes, salt, and pepper."
Mixed Nuts and Dried Fruit,160,12,16,12,"1/4 cup mixed nuts (almonds, walnuts, cashews); 1/4 cup dried fruit (raisins, cranberries, apricots)",For mixed nuts and dried fruit: Mix together a variety of mixed nuts and dried fruit for a nutritious and portable snack.
Cottage Cheese and Pineapple Boat,140,11,14,11,1/2 cup low-fat cottage cheese; 1/2 cup diced pineapple,"For cottage cheese and pineapple boat: Serve diced pineapple in a hollowed-out pineapple boat, topped with low-fat cottage cheese."
Turkey and Cucumber Roll-Ups,110,8,11,8,"4 slices turkey breast; 1 cucumber, sliced lengthwise; 1/4 cup hummus",For turkey and cucumber roll-ups: Spread hummus on turkey breast slices and place cucumber slices on top. Roll up and secure with toothpicks.
Cherry Almond Energy Bites,140,11,14,11,1 cup rolled oats; 1/4 cup almond butter; 1/4 cup dried cherries; 2 tablespoons honey; 1/4 cup sliced almonds,"For cherry almond energy bites: Mix rolled oats, almond butter, dried cherries, honey, and sliced almonds until well combined. Roll into balls and refrigerate until firm."
Yogurt-Covered Blueberries,110,8,11,8,1/2 cup blueberries; 1/4 cup Greek yogurt; 1 tablespoon honey,"For yogurt-covered blueberries: Dip blueberries in Greek yogurt mixed with honey, then place on a baking sheet lined with parchment paper. Freeze until yogurt is set."
Avocado and Tomato Toast,160,12,16,12,"1 slice whole grain bread; 1/4 avocado, mashed; 1/2 tomato, sliced; Salt and pepper, to taste","For avocado and tomato toast: Toast the whole grain bread, spread mashed avocado on top, and layer with sliced tomatoes. Season with salt and pepper."
Chickpea Salad,140,11,14,11,"1 cup canned chickpeas, drained and rinsed; 1/4 cup diced cucumber; 1/4 cup diced bell pepper; 2 tablespoons chopped parsley; 1 tablespoon lemon juice; 1 tablespoon olive oil","For chickpea salad: Mix canned chickpeas, diced cucumber, diced bell pepper, chopped parsley, lemon juice, and olive oil together in a bowl. Serve chilled."
Spinach and Feta Stuffed Mushrooms,120,9,12,9,"6 large mushrooms; 1 cup spinach, chopped; 1/4 cup crumbled feta cheese; 1 clove garlic, minced","For spinach and feta stuffed mushrooms: Remove the stems from the mushrooms and spoon out the gills. In a pan, sauté chopped spinach and minced garlic until wilted. Fill each mushroom cap with the spinach mixture and top with crumbled feta cheese. Bake in the oven at 375°F (190°C) for 15 minutes."
Hummus and Veggie Wraps,150,11,15,11,"1 whole wheat tortilla; 1/4 cup hummus; 1/2 cup mixed veggies (carrots, bell peppers, cucumbers), julienned","For hummus and veggie wraps: Spread hummus onto a whole wheat tortilla, place julienned mixed veggies on top, and roll up tightly. Slice into bite-sized pieces."
Quinoa Stuffed Bell Peppers,180,14,18,14,"2 bell peppers; 1/2 cup cooked quinoa; 1/4 cup black beans, drained and rinsed; 1/4 cup corn kernels; 1/4 cup diced tomatoes; 2 tablespoons chopped cilantro","For quinoa stuffed bell peppers: Cut the bell peppers in half lengthwise and remove the seeds. In a bowl, mix cooked quinoa, black beans, corn kernels, diced tomatoes, and chopped cilantro. Fill each bell pepper half with the quinoa mixture and bake in the oven at 375°F (190°C) for 20-25 minutes."
Egg Salad Cucumber Boats,130,10,13,10,"2 cucumbers; 2 hard-boiled eggs, chopped; 2 tablespoons Greek yogurt; 1 teaspoon Dijon mustard; Salt and pepper, to taste","For egg salad cucumber boats: Cut the cucumbers in half lengthwise and scoop out the seeds to form boats. In a bowl, mix chopped hard-boiled eggs, Greek yogurt, Dijon mustard, salt, and pepper. Fill each cucumber boat with the egg salad mixture."
Fruit Salad with Honey-Lime Dressing,120,9,12,9,"1 cup mixed fruits (strawberries, blueberries, kiwi, grapes); 1 tablespoon honey; Juice of 1 lime","For fruit salad with honey-lime dressing: Combine mixed fruits in a bowl. In a separate bowl, whisk together honey and lime juice. Drizzle the dressing over the fruit salad and toss gently to coat."
Mango Coconut Energy Balls,140,11,14,11,"1 cup rolled oats; 1/2 cup dried mango, chopped; 1/4 cup shredded coconut; 2 tablespoons honey; 1 tablespoon coconut oil","For mango coconut energy balls: In a food processor, combine rolled oats, dried mango, shredded coconut, honey, and coconut oil. Pulse until the mixture comes together. Roll into balls and refrigerate until firm."
Stuffed Grape Leaves,160,12,16,12,"12 grape leaves; 1/2 cup cooked quinoa; 1/4 cup chickpeas, mashed; 2 tablespoons chopped mint; 1 tablespoon lemon juice; Salt and pepper, to taste","For stuffed grape leaves: Blanch grape leaves in boiling water for 2 minutes, then remove and drain. In a bowl, mix cooked quinoa, mashed chickpeas, chopped mint, lemon juice, salt, and pepper. Place a spoonful of the quinoa mixture in the center of each grape leaf, then fold the sides over and roll up tightly."
Greek Yogurt Berry Popsicles,100,8,10,8,1 cup Greek yogurt; 1/2 cup mixed berries; 2 tablespoons honey,"For Greek yogurt berry popsicles: Blend Greek yogurt, mixed berries, and honey until smooth. Pour the mixture into popsicle molds and insert sticks. Freeze for at least 4 hours until set."
Cucumber Hummus Bites,110,8,11,8,"1 cucumber, sliced; 1/4 cup hummus; Paprika",For cucumber hummus bites: Top cucumber slices with hummus and sprinkle with paprika for extra flavor.
Coconut Chia Pudding,150,11,15,11,1/4 cup chia seeds; 1 cup coconut milk; 1 tablespoon maple syrup; 1/4 teaspoon vanilla extract,"For coconut chia pudding: Mix chia seeds, coconut milk, maple syrup, and vanilla extract in a bowl. Let it sit in the refrigerator for at least 2 hours or overnight until thickened."
Almond Stuffed Dates,140,11,14,11,"6 dates, pitted; 12 whole almonds",For almond stuffed dates: Gently open each date and insert a whole almond. Serve as a quick and satisfying snack.
Peanut Butter Banana Bites,130,10,13,10,"1 banana, sliced; 2 tablespoons peanut butter",For peanut butter banana bites: Spread peanut butter onto banana slices for a delicious and protein-packed snack.
Zucchini Chips,100,8,10,8,"1 medium zucchini, sliced; 1 tablespoon olive oil; Salt and pepper, to taste","For zucchini chips: Toss zucchini slices with olive oil, salt, and pepper. Arrange in a single layer on a baking sheet and bake at 350°F (175°C) for 20-25 minutes until crispy."
Cottage Cheese Stuffed Bell Peppers,130,10,13,10,2 bell peppers; 1/2 cup low-fat cottage cheese; 2 tablespoons chopped chives,For cottage cheese stuffed bell peppers: Cut the tops off the bell peppers and remove seeds. Fill each pepper with low-fat cottage cheese and sprinkle with chopped chives.
Chia Seed Pudding with Berries,160,12,16,12,1/4 cup chia seeds; 1 cup almond milk; 1 tablespoon honey; 1/2 cup mixed berries,"For chia seed pudding with berries: Mix chia seeds, almond milk, and honey in a bowl. Let it sit in the refrigerator for at least 2 hours or overnight until thickened. Serve topped with mixed berries."
Roasted Beet Chips,110,8,11,8,"2 medium beets, thinly sliced; 1 tablespoon olive oil; Salt, to taste",For roasted beet chips: Toss beet slices with olive oil and salt. Arrange in a single layer on a baking sheet and bake at 375°F (190°C) for 20-25 minutes until crispy.
Turkey Cucumber Roll-Ups,90,7,9,7,"4 slices turkey breast; 1 cucumber, sliced lengthwise; 1/4 cup hummus",For turkey cucumber roll-ups: Spread hummus on turkey breast slices and place cucumber slices on top. Roll up tightly and slice into bite-sized pieces.
Greek Yogurt Dip with Veggie Sticks,120,9,12,9,1 cup Greek yogurt; 1 tablespoon lemon juice; 1/2 teaspoon dried dill; Assorted veggie sticks,"For Greek yogurt dip with veggie sticks: Mix Greek yogurt, lemon juice, and dried dill until well combined. Serve with assorted veggie sticks for dipping."
Stuffed Mushrooms with Spinach and Feta,140,11,14,11,"6 large mushrooms; 1 cup chopped spinach; 1/4 cup crumbled feta cheese; 1 clove garlic, minced","For stuffed mushrooms with spinach and feta: Remove the stems from the mushrooms and chop them. In a pan, sauté chopped mushroom stems, chopped spinach, and minced garlic until spinach is wilted. Fill each mushroom cap with the spinach mixture and top with crumbled feta cheese. Bake at 375°F (190°C) for 15 minutes."
Chickpea and Veggie Salad,150,11,15,11,"1 cup canned chickpeas, drained and rinsed; 1/2 cup diced cucumber; 1/2 cup diced tomatoes; 1/4 cup diced red onion; 2 tablespoons chopped parsley; 1 tablespoon lemon juice; 1 tablespoon olive oil","For chickpea and veggie salad: Mix canned chickpeas, diced cucumber, diced tomatoes, diced red onion, chopped parsley, lemon juice, and olive oil in a bowl. Serve chilled."
Peanut Butter Banana Smoothie,180,14,18,14,1 ripe banana; 2 tablespoons peanut butter; 1 cup almond milk; 1/2 cup ice cubes,"For peanut butter banana smoothie: Blend ripe banana, peanut butter, almond milk, and ice cubes until smooth and creamy."
Veggie Sushi Rolls,140,11,14,11,"2 nori sheets; 1/2 cup cooked sushi rice; 1/4 cup sliced cucumber; 1/4 cup sliced avocado; 1/4 cup shredded carrots; Soy sauce, for dipping","For veggie sushi rolls: Place a nori sheet on a bamboo sushi mat. Spread cooked sushi rice evenly over the nori sheet, leaving a 1-inch border at the top. Arrange sliced cucumber, sliced avocado, and shredded carrots in the center of the rice. Roll up tightly using the bamboo mat. Slice into bite-sized pieces and serve with soy sauce for dipping."
Coconut Yogurt with Mango,130,10,13,10,1/2 cup coconut yogurt; 1/2 cup diced mango,For coconut yogurt with mango: Serve diced mango over coconut yogurt for a tropical and refreshing snack.
Stuffed Celery with Cream Cheese,120,9,12,9,4 celery stalks; 1/4 cup low-fat cream cheese; 2 tablespoons chopped walnuts,For stuffed celery with cream cheese: Fill celery stalks with low-fat cream cheese and sprinkle with chopped walnuts for added crunch.
Cucumber Avocado Rolls,110,8,11,8,"1 cucumber; 1/2 avocado, sliced; 1/4 cup alfalfa sprouts","For cucumber avocado rolls: Use a vegetable peeler to slice thin strips of cucumber lengthwise. Place avocado slices and alfalfa sprouts on each cucumber strip, then roll up tightly."
Spicy Roasted Edamame,140,11,14,11,"1 cup edamame, shelled; 1 teaspoon olive oil; 1/2 teaspoon chili powder; 1/2 teaspoon garlic powder; Salt, to taste","For spicy roasted edamame: Toss shelled edamame with olive oil, chili powder, garlic powder, and salt. Spread on a baking sheet lined with parchment paper and roast at 400°F (200°C) for 15-20 minutes until crispy."
Cauliflower Popcorn,90,7,9,7,2 cups cauliflower florets; 1 tablespoon olive oil; 1/2 teaspoon smoked paprika; 1/4 teaspoon garlic powder,"For cauliflower popcorn: Toss cauliflower florets with olive oil, smoked paprika, and garlic powder. Roast in the oven at 425°F (220°C) for 20-25 minutes until golden brown and crispy."
Bell Pepper Nachos,120,9,12,9,"2 bell peppers, sliced; 1/2 cup black beans, drained and rinsed; 1/4 cup shredded cheese; 1/4 cup salsa; 2 tablespoons chopped cilantro",For bell pepper nachos: Arrange bell pepper slices on a baking sheet. Top with black beans and shredded cheese. Bake at 375°F (190°C) for 10-12 minutes until cheese is melted. Top with salsa and chopped cilantro before serving.
Cucumber Sushi Rolls,110,8,11,8,"1 cucumber; 1/2 cup cooked sushi rice; 1/4 cup shredded carrots; 1/4 cup sliced avocado; Soy sauce, for dipping",For cucumber sushi rolls: Use a vegetable peeler to slice thin strips of cucumber lengthwise. Spread cooked sushi rice evenly over the cucumber strips. Arrange shredded carrots and sliced avocado on top. Roll up tightly and slice into bite-sized pieces. Serve with soy sauce for dipping.
Apple Peanut Butter Sandwiches,150,11,15,11,"1 apple, sliced; 2 tablespoons peanut butter; Granola",For apple peanut butter sandwiches: Spread peanut butter between apple slices and sprinkle with granola for added crunch.
Greek Yogurt Parfait,130,10,13,10,1/2 cup Greek yogurt; 1/4 cup granola; 1/4 cup mixed berries,"For Greek yogurt parfait: Layer Greek yogurt, granola, and mixed berries in a glass or bowl. Repeat layers as desired."
Roasted Chickpeas,120,9,12,9,"1 cup cooked chickpeas, drained and rinsed; 1 tablespoon olive oil; 1/2 teaspoon cumin; 1/2 teaspoon paprika; Salt, to taste","For roasted chickpeas: Toss chickpeas with olive oil, cumin, paprika, and salt. Spread on a baking sheet lined with parchment paper and roast at 400°F (200°C) for 25-30 minutes until crispy."
Caprese Skewers,140,11,14,11,12 cherry tomatoes; 12 small mozzarella balls; 12 fresh basil leaves; Balsamic glaze,"For Caprese skewers: Thread cherry tomatoes, mozzarella balls, and fresh basil leaves onto skewers. Drizzle with balsamic glaze before serving."
Mango Salsa with Cucumber Slices,100,8,10,8,"1 ripe mango, diced; 1/4 cup diced red onion; 1/4 cup chopped cilantro; Juice of 1 lime; 1 cucumber, sliced","For mango salsa with cucumber slices: Mix diced mango, diced red onion, chopped cilantro, and lime juice in a bowl. Serve with cucumber slices for dipping."
Turkey Lettuce Wraps,110,8,11,8,4 large lettuce leaves; 1/2 cup cooked ground turkey; 1/4 cup diced tomatoes; 1/4 cup diced bell pepper; 2 tablespoons salsa,"For turkey lettuce wraps: Fill lettuce leaves with cooked ground turkey, diced tomatoes, diced bell pepper, and salsa. Roll up and serve."
Rice Cake with Almond Butter and Banana,140,11,14,11,"1 rice cake; 1 tablespoon almond butter; 1/2 banana, sliced",For rice cake with almond butter and banana: Spread almond butter on a rice cake and top with sliced banana for a quick and satisfying snack.
Stuffed Mini Peppers,130,10,13,10,6 mini bell peppers; 1/4 cup hummus; 2 tablespoons crumbled feta cheese; 1 tablespoon chopped parsley,For stuffed mini peppers: Cut mini bell peppers in half lengthwise and remove seeds. Fill each pepper half with hummus and top with crumbled feta cheese and chopped parsley.
Banana Almond Energy Balls,160,12,16,12,"1 ripe banana, mashed; 1/2 cup rolled oats; 1/4 cup almond butter; 2 tablespoons honey; 1/4 cup chopped almonds","For banana almond energy balls: Mix mashed banana, rolled oats, almond butter, honey, and chopped almonds in a bowl. Roll into balls and refrigerate until firm."
Tomato Basil Mozzarella Skewers,120,9,12,9,12 cherry tomatoes; 12 mini mozzarella balls; 12 fresh basil leaves; Balsamic glaze,"For tomato basil mozzarella skewers: Thread cherry tomatoes, mini mozzarella balls, and fresh basil leaves onto skewers. Drizzle with balsamic glaze before serving."
Cottage Cheese Stuffed Celery,100,8,10,8,4 celery stalks; 1/2 cup low-fat cottage cheese; 1/4 teaspoon paprika,For cottage cheese stuffed celery: Fill celery stalks with low-fat cottage cheese and sprinkle with paprika for extra flavor.
Bell Pepper Hummus Boats,130,10,13,10,2 bell peppers; 1/2 cup hummus; 2 tablespoons sliced olives; 1 tablespoon chopped parsley,For bell pepper hummus boats: Cut bell peppers in half lengthwise and remove seeds. Fill each pepper half with hummus and top with sliced olives and chopped parsley.
Avocado Cucumber Rolls,120,9,12,9,"1 avocado, mashed; 1 cucumber, thinly sliced lengthwise; 1/4 cup shredded carrots; 2 tablespoons chopped cilantro","For avocado cucumber rolls: Spread mashed avocado on cucumber slices. Top with shredded carrots and chopped cilantro, then roll up tightly."
Roasted Red Pepper Dip with Pita Chips,140,11,14,11,"1 roasted red pepper; 1/4 cup Greek yogurt; 1 tablespoon lemon juice; 1 clove garlic, minced; Pita chips, for dipping","For roasted red pepper dip with pita chips: Blend roasted red pepper, Greek yogurt, lemon juice, and minced garlic until smooth. Serve with pita chips for dipping."
Spicy Mango Slices,110,8,11,8,"1 ripe mango, sliced; Chili powder; Lime wedges",For spicy mango slices: Sprinkle sliced mango with chili powder and serve with lime wedges for squeezing.
Tuna Cucumber Bites,130,10,13,10,"1 can (5 oz) tuna, drained; 2 tablespoons Greek yogurt; 1 tablespoon mustard; 1 cucumber, sliced; Dill sprigs","For tuna cucumber bites: Mix tuna, Greek yogurt, and mustard in a bowl. Spoon mixture onto cucumber slices and garnish with dill sprigs."
Watermelon Feta Skewers,120,9,12,9,2 cups cubed watermelon; 1/4 cup crumbled feta cheese; Fresh mint leaves; Balsamic glaze,For watermelon feta skewers: Thread cubed watermelon and crumbled feta cheese onto skewers. Garnish with fresh mint leaves and drizzle with balsamic glaze.
Almond Date Energy Balls,150,11,15,11,1 cup pitted dates; 1/2 cup almonds; 2 tablespoons unsweetened shredded coconut; 1 tablespoon cocoa powder,"For almond date energy balls: Blend pitted dates, almonds, shredded coconut, and cocoa powder in a food processor until mixture sticks together. Roll into balls and refrigerate until firm."
Cucumber Dill Yogurt Dip with Radish Slices,110,8,11,8,"1 cup Greek yogurt; 1/2 cucumber, grated; 1 tablespoon chopped dill; Salt and pepper, to taste; Radish slices","For cucumber dill yogurt dip with radish slices: Mix Greek yogurt, grated cucumber, chopped dill, salt, and pepper in a bowl. Serve with radish slices for dipping."
Pistachio Cranberry Oat Bars,160,12,16,12,"1 cup rolled oats; 1/4 cup pistachios, chopped; 1/4 cup dried cranberries; 2 tablespoons honey; 2 tablespoons almond butter","For pistachio cranberry oat bars: Mix rolled oats, chopped pistachios, dried cranberries, honey, and almond butter in a bowl. Press mixture into a lined baking dish and refrigerate until firm. Cut into bars before serving."
Sweet Potato Chips,120,9,12,9,"1 sweet potato, thinly sliced; 1 tablespoon olive oil; Salt and pepper, to taste","For sweet potato chips: Toss sweet potato slices with olive oil, salt, and pepper. Arrange in a single layer on a baking sheet and bake at 375°F (190°C) for 20-25 minutes until crispy."
Mango Yogurt Popsicles,100,8,10,8,1 cup diced mango; 1 cup Greek yogurt; 2 tablespoons honey,"For mango yogurt popsicles: Blend diced mango, Greek yogurt, and honey until smooth. Pour mixture into popsicle molds and freeze until solid."
Broccoli Cheddar Bites,140,11,14,11,"2 cups steamed broccoli, mashed; 1/2 cup shredded cheddar cheese; 1/4 cup breadcrumbs; 1 egg; Salt and pepper, to taste","For broccoli cheddar bites: Mix mashed steamed broccoli, shredded cheddar cheese, breadcrumbs, egg, salt, and pepper in a bowl. Form mixture into bite-sized balls and bake at 375°F (190°C) for 15-20 minutes until golden brown."
Peach Basil Bruschetta,130,10,13,10,"2 ripe peaches, diced; 1/4 cup chopped fresh basil; 1 tablespoon balsamic glaze; Sliced baguette","For peach basil bruschetta: Mix diced peaches, chopped fresh basil, and balsamic glaze in a bowl. Spoon mixture onto sliced baguette and serve as an appetizer."
