name,calories,protein,carbs,fat,ingredients,recipe
Chicken and Vegetable Stir-Fry,580,21,15,21,"200g chicken breast, sliced; Assorted vegetables (such as bell peppers, broccoli, carrots), sliced; 2 tablespoons soy sauce; 1 tablespoon oyster sauce; 1 tablespoon olive oil; 2 cloves garlic, minced; 1-inch piece ginger, grated; Salt and pepper, to taste","For chicken and vegetable stir-fry: Heat olive oil in a large skillet or wok over medium heat. Add minced garlic and grated ginger. sauteuntil fragrant. Add sliced chicken breast and stir-fry until cooked through. Add sliced vegetables and stir-fry until tender-crisp. In a small bowl, whisk together soy sauce and oyster sauce. Pour the sauce over the chicken and vegetables. Season with salt and pepper. Stir-fry for another 2-3 minutes. Serve hot with brown rice or quinoa."
Vegetable Soup,300,15,30,15,"Assorted vegetables (such as carrots, celery, potatoes), diced; 4 cups vegetable broth; 2 cloves garlic, minced; 1 onion, chopped; 1 tablespoon olive oil; Salt and pepper, to taste","For vegetable soup: Heat olive oil in a large pot over medium heat. Add chopped onion and minced garlic. sauteuntil fragrant. Add diced vegetables and vegetable broth. Bring to a boil, then reduce heat and simmer until vegetables are tender. Season with salt and pepper. Serve hot."
Spinach and Lentil Soup,220,17,35,17,"1 cup lentils (masoor or moong); 2 cups spinach leaves; 1 onion, chopped; 2 tomatoes, chopped; 2 cloves garlic, minced; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; Salt and pepper, to taste; 1 tablespoon olive oil","For spinach and lentil soup: Heat olive oil in a large pot over medium heat. Add chopped onion and minced garlic. sauteuntil fragrant. Add cumin seeds and cook until they start to sizzle. Add chopped tomatoes and cook until soft. Add lentils and water. Bring to a boil, then reduce heat and simmer until lentils are tender. Stir in spinach leaves and cook until wilted. Season with salt and pepper. Serve hot."
Grilled Chicken Salad,280,21,10,21,"200g grilled chicken breast, sliced; Mixed salad greens (lettuce, spinach, arugula); 1 cucumber, sliced; 1 tomato, sliced; 1/4 onion, thinly sliced; 2 tablespoons balsamic vinegar; 1 tablespoon olive oil; Salt and pepper, to taste","For grilled chicken salad: In a large bowl, toss mixed salad greens with sliced cucumber, sliced tomato, and thinly sliced onion. Top with grilled chicken breast slices. In a small bowl, whisk together balsamic vinegar, olive oil, salt, and pepper to make the dressing. Drizzle the dressing over the salad. Toss well to combine. Serve chilled."
Chicken Daal with Shan Masala,650,35,45,20,"1 cup yellow lentils (moong dal); 1 onion, chopped; 2 tomatoes, chopped; 2 green chilies, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1 teaspoon cumin seeds; 1/2 teaspoon mustard seeds; 1/2 teaspoon turmeric powder; Salt, to taste; 250g chicken breast, diced; 2 tablespoons Shan Chicken Masala; Fresh cilantro, for garnish","For chicken daal with Shan masala: Wash yellow lentils and cook with water until soft. In a separate pan, heat oil and add cumin seeds and mustard seeds. Once they crackle, add chopped onions, minced garlic, grated ginger, and chopped green chilies. sauteuntil onions are translucent. Add diced chicken breast and cook until it turns white. Stir in Shan Chicken Masala and cook for 2-3 minutes. Add chopped tomatoes and cook until they soften. Add turmeric powder and salt. Add cooked lentils and simmer for 5-10 minutes. Garnish with fresh cilantro before serving."
White Chicken with Shan Masala,650,45,15,40,"4 boneless, skinless chicken breasts; 1 packet Shan Chicken White Handi Masala; 1 cup yogurt; 1/4 cup oil; 1 onion, finely sliced; 2 tomatoes, chopped; 2 green chilies, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/2 cup fresh cream; Salt, to taste","1. Marinate chicken breasts with Shan Chicken White Handi Masala and yogurt. Set aside for 1 hour ,Heat oil in a pan and fry finely sliced onions until golden brown.Add minced garlic, grated ginger, chopped green chilies, and chopped tomatoes. Cook until tomatoes are soft.Add marinated chicken breasts and cook until they are tender. Stir in fresh cream and simmer for a few minutes. Serve hot with naan or rice."
White Mutton Handi,650,40,15,45,"300g mutton, cubed; 2 tablespoons oil; 1 large onion, finely sliced; 2 tomatoes, chopped; 2 tablespoons yogurt; 1 tablespoon ginger-garlic paste; 1 teaspoon red chili powder; 1 teaspoon coriander powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon garam masala; Salt, to taste; Fresh coriander leaves, for garnish","For white mutton handi: Heat oil in a handi or deep pan. Add sliced onions and sauteuntil golden brown. Add ginger-garlic paste and sauteuntil fragrant. Add chopped tomatoes and cook until they turn mushy. Stir in red chili powder, coriander powder, turmeric powder, and salt. Add cubed mutton pieces and cook until they change color. Whisk yogurt and add it to the handi. Cover and cook until mutton is tender. Sprinkle garam masala and garnish with fresh coriander leaves before serving."
Beef Makhan Handi,650,38,15,48,"300g beef, cubed; 1/4 cup yogurt; 1/8 cup butter; 1 onion, finely chopped; 1 tomatoes, pureed; 2 teaspoons ginger paste; 2 teaspoons garlic paste; 1 teaspoon red chili powder; 1 teaspoon turmeric powder; 1 teaspoon garam masala; Salt, to taste; Fresh coriander leaves, for garnish","For beef makhan handi: Marinate beef cubes in yogurt, ginger paste, garlic paste, red chili powder, turmeric powder, and salt for 1 hour. In a pan, melt butter and sautefinely chopped onions until golden brown. Add marinated beef and cook until tender. Stir in tomato puree and cook until oil separates. Sprinkle garam masala and simmer for a few minutes. Garnish with fresh coriander leaves before serving."
Beef Matar Qeema Handi,650,32,48,35,"200g lean ground beef; 1/6 cup peas; 1/2 large onion, finely chopped; 1/2 tomatoes, chopped; 2 green chilies, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1/2 cup plain yogurt; 1/4 cup cooking oil; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala powder; Salt, to taste; Fresh cilantro, for garnish","For beef matar qeema handi: Heat oil in a pan and add cumin seeds. Once they crackle, add chopped onions, minced garlic, grated ginger, and chopped green chilies. sauteuntil onions are golden brown. Add chopped tomatoes and cook until they soften. Stir in coriander powder, turmeric powder, red chili powder, and salt. Add ground beef and cook until it changes color. Add peas and cook for another 5 minutes. Beat yogurt and add it to the mixture. Simmer for 10-15 minutes until the oil separates. Sprinkle garam masala powder and garnish with fresh cilantro before Chicken Matar Qeema Handi	650	45	30	40	500g ground chicken; 1 cup green peas; 1 onion finely chopped; 2 tomatoes finely chopped; 1 green chili	 chopped; 2 cloves garlic minced; 1-inch piece ginger grated; 1/2 cup yogurt; 1/4 cup fresh cream; 2 tablespoons ghee; 1 teaspoon cumin seeds; 1 teaspoon coriander powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala; Salt to taste; Fresh coriander leaves for garnish	Heat ghee in a pan and add cumin seeds. Once they crackle, add chopped onions, minced garlic, and grated ginger. sauteuntil onions are golden brown.Add chopped tomatoes and green chili. Cook until tomatoes are soft and mushy.Add ground chicken and cook until it changes color and releases its juices.Stir in coriander powder, turmeric powder, red chili powder, and salt. Cook for a few minutes.Add green peas and yogurt. Mix well and cook for 5-7 minutes.Pour in fresh cream and sprinkle garam masala. Cook for another 2-3 minutes. Garnish with fresh coriander leaves before serving. Enjoy your Chicken Matar Qeema Handi!"
Chicken Aloo Qeema Handi,650,40,35,40,"200g chicken mince; 1 medium-sized potatoes, cubed; 1 onion, chopped; 2 tomatoes, chopped; 2 green chilies, chopped; 2 cloves garlic, minced; 1-inch piece ginger, grated; 1 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1/2 teaspoon coriander powder; 1/2 teaspoon garam masala; Salt, to taste; Fresh cilantro, for garnish","In a pan, heat oil and add cumin seeds. Once they crackle, add chopped onions, minced garlic, grated ginger, and chopped green chilies. sauteuntil onions are golden brown. Add chopped tomatoes and cook until they turn mushy. Add turmeric powder, red chili powder, coriander powder, and salt. Stir well. Add chicken mince and cook until it changes color. Add cubed potatoes and mix. Cover and cook until potatoes are tender. Sprinkle garam masala and garnish with fresh cilantro before serving."
Chicken Cheese Boti,650,40,10,45,"200g boneless chicken breast, cut into cubes; 1/4 cup grated cheese; 1/4 cup yogurt; 2 tablespoons lemon juice; 2 teaspoons ginger garlic paste; 1 teaspoon red chili powder; 1/2 teaspoon turmeric powder; 1/2 teaspoon garam masala; Salt, to taste; 2 tablespoons oil","For Chicken Cheese Boti: Marinate chicken cubes in yogurt, lemon juice, ginger garlic paste, red chili powder, turmeric powder, garam masala, and salt for at least 1 hour. Preheat the grill or oven. Skewer the marinated chicken cubes alternating with grated cheese. Brush with oil. Grill or bake until chicken is cooked through and cheese is melted and golden brown, about 15-20 minutes. Serve hot with your favorite sauce."
Chicken Tikka Boti,650,45,15,48,"250g chicken breast, cut into cubes; 1 cup yogurt; 2 tablespoons lemon juice; 2 tablespoons ginger garlic paste; 2 teaspoons red chili powder; 1 teaspoon turmeric powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; Salt, to taste; 2 tablespoons oil; Skewers","For chicken tikka boti: In a bowl, mix yogurt, lemon juice, ginger garlic paste, red chili powder, turmeric powder, cumin powder, coriander powder, and salt. Add chicken cubes to the marinade and coat them well. Let it marinate for at least 2 hours, preferably overnight. Preheat the grill or oven to medium-high heat. Thread marinated chicken onto skewers. Brush with oil. Grill or bake for 20-25 minutes, turning occasionally, until chicken is cooked through and charred. Serve hot with mint chutney and naan."
